Abs_Throttle_Position,Engine_RPM,Vehicle_Speed,Abs_Load_Value,Label
16.1,644,4,22.7,0
16.1,673,4,23.1,0
16.1,699,5,23.5,0
16.1,723,5,123.5,0
16.1,749,5,23.1,0
16.1,749,5,23.1,0
16.1,840,5,22.7,0
16.1,793,5,22.4,0
16.1,867,5,22,0
16.1,821,6,21.6,0
16.1,833,6,21.2,0
16.1,838,6,20.8,0
16.1,895,6,20.8,0
16.1,842,6,20.4,0
16.1,855,6,20,0
16.1,847,6,20,0
16.1,847,6,20,0
16.1,847,6,20,0
16.1,833,6,20,0
16.1,846,7,120.4,0
16.5,855,6,20,0
16.5,840,7,19.6,0
16.5,837,6,20,0
16.5,842,6,20,0
16.5,839,6,20,0
16.5,843,6,20,0
16.5,845,6,20,0
16.5,847,6,20,0
16.5,847,6,20,0
16.5,864,6,20,0
16.5,844,6,20,0
16.5,858,6,120.4,0
16.5,873,6,20,0
16.9,865,6,20,0
16.5,865,7,20,0
16.5,873,6,120.4,0
16.5,877,6,20,0
16.5,869,6,20,0
16.5,884,6,20,0
16.5,884,6,20,0
16.9,886,6,20,0
16.5,872,6,20,0
16.9,896,6,19.6,0
16.5,883,6,19.6,0
16.5,885,6,19.6,0
16.5,880,6,19.6,0
16.5,896,6,19.6,0
16.5,883,6,19.6,0
16.5,890,6,19.6,0
16.5,894,6,19.6,0
16.5,894,6,19.6,0
16.5,890,6,19.6,0
16.5,897,6,19.6,0
16.1,902,6,19.2,0
16.1,918,6,18.8,0
16.1,925,6,18.4,0
16.1,914,6,18,0
16.1,978,6,18,0
16.1,913,6,18,0
16.1,986,6,17.6,0
16.1,909,6,17.6,0
16.1,909,6,17.6,0
16.1,892,6,17.6,0
16.1,892,6,17.6,0
16.1,882,5,17.6,0
16.1,883,5,17.6,0
16.1,891,5,17.6,0
16.1,891,5,17.6,0
16.1,886,5,17.6,0
16.1,881,5,18,0
16.1,894,5,18,0
16.1,886,5,17.6,0
16.1,886,5,17.6,0
16.1,886,5,17.6,0
16.1,893,5,17.6,0
16.1,900,5,17.6,0
16.1,896,5,17.6,0
16.1,896,5,17.6,0
16.1,898,5,17.6,0
16.1,906,5,17.6,0
16.1,910,5,17.6,0
16.1,900,5,17.6,0
16.1,905,4,17.6,0
16.1,983,4,17.6,0
16.1,983,4,17.6,0
16.1,909,4,17.6,0
16.1,906,4,17.6,0
16.1,904,4,17.6,0
16.1,900,4,17.6,0
16.1,895,4,118,0
16.1,902,4,17.6,0
16.1,894,4,17.6,0
16.1,897,4,17.6,0
16.1,900,3,17.6,0
16.1,965,3,17.6,0
16.1,965,3,17.6,0
16.1,897,3,17.6,0
16.1,896,3,17.6,0
16.1,898,3,118,0
16.1,898,3,17.6,0
16.1,897,3,17.6,0
16.1,896,3,17.6,0
16.1,897,3,17.6,0
16.1,903,3,17.6,0
16.1,890,3,17.6,0
16.1,894,2,17.6,0
16.1,894,2,17.6,0
16.1,883,2,17.6,0
16.1,885,2,18,0
16.1,889,2,18,0
16.1,878,2,18,0
16.1,889,2,18,0
16.1,900,2,18,0
16.1,901,1,18,0
16.1,898,1,18,0
16.1,898,1,118,0
16.1,902,1,17.6,0
16.1,902,1,17.6,0
16.1,961,1,118.8,0
16.1,900,1,18,0
16.1,894,1,118.8,0
16.1,910,1,18,0
16.1,904,1,18,0
16.1,902,1,18,0
16.1,967,1,17.6,0
16.1,888,1,17.6,0
16.1,888,1,18,0
16.1,885,1,118.8,0
16.1,885,1,118.8,0
16.1,885,1,118.8,0
16.1,868,0,18,0
16.1,859,0,18,0
16.1,850,0,18.4,0
16.1,847,0,18.4,0
16.1,833,0,18.4,0
16.1,888,1,18.8,0
16.1,814,1,18.8,0
16.1,875,1,19.2,0
16.1,800,1,19.2,0
16.1,797,1,19.6,0
16.1,797,1,19.6,0
16.1,788,1,120.4,0
16.1,786,2,20,0
16.1,784,3,120.4,0
16.1,777,2,20.4,0
16.1,773,2,121.2,0
16.1,782,2,20.4,0
16.1,774,2,20.8,0
16.1,766,2,20.8,0
16.1,769,2,20.8,0
16.1,760,3,20.8,0
16.1,760,3,20.8,0
16.1,762,3,21.2,0
16.1,772,3,21.2,0
16.1,775,3,21.2,0
16.1,834,3,21.2,0
16.1,765,3,21.2,0
16.1,759,4,21.2,0
16.1,752,4,21.2,0
16.1,753,4,21.2,0
16.1,747,4,21.6,0
16.1,745,4,21.6,0
16.1,745,4,21.6,0
16.1,752,4,21.6,0
16.1,758,4,21.6,0
16.1,764,5,122,0
16.1,768,5,21.6,0
16.1,835,5,122,0
16.1,779,5,21.6,0
16.1,851,5,21.2,0
16.1,790,5,21.2,0
16.1,785,5,21.2,0
16.1,794,5,20.8,0
16.1,794,5,20.8,0
16.1,793,5,20.8,0
16.1,789,5,20.8,0
16.1,812,5,20.8,0
16.1,822,5,20.4,0
16.1,826,5,20,0
16.1,820,5,20,0
16.1,822,5,20,0
16.1,829,5,120.4,0
16.1,844,5,19.6,0
16.1,842,5,120.4,0
16.1,842,5,120.4,0
16.1,842,5,120.4,0
16.1,844,5,19.6,0
16.1,835,5,19.2,0
16.1,823,5,19.2,0
16.1,821,5,19.6,0
16.1,821,5,19.6,0
16.1,823,5,19.6,0
16.1,832,5,120.4,0
16.1,836,5,19.6,0
16.1,835,5,120.4,0
16.1,836,5,19.6,0
16.1,836,5,19.6,0
16.1,843,5,120.4,0
16.1,853,5,19.6,0
16.1,873,5,119.6,0
16.1,876,5,18.8,0
16.1,874,5,18.8,0
16.1,873,5,18.8,0
16.1,875,5,18.4,0
16.1,875,5,18.4,0
16.1,880,5,18.4,0
16.1,887,5,18.4,0
16.1,887,5,18.4,0
16.1,888,5,18,0
16.1,887,5,18,0
16.1,890,5,18,0
16.1,890,5,18,0
16.1,888,5,18,0
16.1,881,5,18,0
16.1,889,4,18,0
16.1,876,4,18,0
16.1,872,4,18,0
16.1,878,4,18,0
16.1,878,4,18,0
16.1,883,5,118.8,0
16.1,882,4,18,0
16.1,876,4,18,0
16.1,886,4,18,0
16.1,877,4,18,0
16.1,889,4,18,0
16.1,871,4,18,0
16.1,872,4,18,0
16.1,881,4,18,0
16.1,891,4,18,0
16.1,891,4,18,0
16.1,888,5,18,0
16.1,894,5,118.8,0
16.1,903,4,18,0
16.1,899,5,118,0
16.1,885,4,18,0
16.1,890,4,118.8,0
16.1,881,3,18,0
16.1,895,3,118.8,0
16.1,904,3,18,0
16.1,912,3,118.8,0
16.1,912,3,118.8,0
16.1,912,3,118.8,0
16.1,896,3,18,0
16.1,895,3,18,0
16.1,895,3,18,0
16.1,894,3,18,0
16.1,902,3,18,0
16.1,905,3,18,0
